date,close,open,high,low
07/08/2022,3899.38,3888.26,3918.5,3869.34
07/07/2022,3902.62,3858.85,3910.63,3858.85
07/06/2022,3845.08,3831.98,3870.91,3809.37
07/05/2022,3831.39,3792.61,3832.19,3742.06
07/01/2022,3825.33,3781,3829.82,3752.1
06/30/2022,3785.38,3785.99,3818.99,3738.67
06/29/2022,3818.83,3825.09,3836.5,3799.02
06/28/2022,3821.55,3913,3945.86,3820.14
06/27/2022,3900.11,3920.76,3927.72,3889.66
06/24/2022,3911.74,3821.75,3913.65,3821.75
06/23/2022,3795.73,3774.71,3802.58,3743.52
06/22/2022,3759.89,3733.89,3801.79,3717.69
06/21/2022,3764.79,3715.31,3779.65,3715.31
06/17/2022,3674.84,3665.9,3707.71,3636.87
06/16/2022,3666.77,3728.18,3728.18,3639.77
06/15/2022,3789.99,3764.05,3837.56,3722.3
06/14/2022,3735.48,3763.52,3778.18,3705.68
06/13/2022,3749.63,3838.15,3838.15,3734.3
06/10/2022,3900.86,3974.39,3974.39,3900.16
06/09/2022,4017.82,4101.65,4119.1,4017.17
06/08/2022,4115.77,4147.12,4160.14,4107.2
06/07/2022,4160.68,4096.47,4164.86,4080.19
06/06/2022,4121.43,4134.72,4168.78,4109.18
06/03/2022,4108.54,4137.57,4142.67,4098.67
06/02/2022,4176.82,4095.41,4177.51,4074.37
06/01/2022,4101.23,4149.78,4166.54,4073.85
05/31/2022,4132.15,4151.09,4168.34,4104.88
05/27/2022,4158.24,4077.43,4158.49,4077.43
05/26/2022,4057.84,3984.6,4075.14,3984.6
05/25/2022,3978.73,3929.59,3999.33,3925.03
05/24/2022,3941.48,3942.94,3955.68,3875.13
05/23/2022,3973.75,3927.02,3981.88,3909.04
05/20/2022,3901.36,3927.76,3943.42,3810.32
05/19/2022,3900.79,3899,3945.96,3876.58
05/18/2022,3923.68,4051.98,4051.98,3911.91
05/17/2022,4088.85,4052,4090.72,4033.93
05/16/2022,4008.01,4013.02,4046.46,3983.99
05/13/2022,4023.89,3963.9,4038.88,3963.9
05/12/2022,3930.08,3903.95,3964.8,3858.87
05/11/2022,3935.18,3990.08,4049.09,3928.82
05/10/2022,4001.05,4035.18,4068.82,3958.17
05/09/2022,3991.24,4081.27,4081.27,3975.48
05/06/2022,4123.34,4128.17,4157.69,4067.91
05/05/2022,4146.87,4270.43,4270.43,4106.01
05/04/2022,4300.17,4181.18,4307.66,4148.91
05/03/2022,4175.48,4159.78,4200.1,4147.08
05/02/2022,4155.38,4130.61,4169.81,4062.51
04/29/2022,4131.93,4253.75,4269.68,4124.28
04/28/2022,4287.5,4222.58,4308.45,4188.63
04/27/2022,4183.96,4186.52,4240.71,4162.9
04/26/2022,4175.2,4278.14,4278.14,4175.04
04/25/2022,4296.12,4255.34,4299.02,4200.82
04/22/2022,4271.78,4385.83,4385.83,4267.62
04/21/2022,4393.66,4489.17,4512.94,4384.47
04/20/2022,4459.45,4472.26,4488.29,4448.76
04/19/2022,4462.21,4390.63,4471.03,4390.63
04/18/2022,4391.69,4385.63,4410.31,4370.3
04/14/2022,4392.59,4449.12,4460.46,4390.77
04/13/2022,4446.59,4394.3,4453.92,4392.7
04/12/2022,4397.45,4437.59,4471,4381.34
04/11/2022,4412.53,4462.64,4464.35,4408.38
04/08/2022,4488.28,4494.15,4520.41,4474.6
04/07/2022,4500.21,4474.65,4521.16,4450.3
04/06/2022,4481.15,4494.17,4503.94,4450.04
04/05/2022,4525.12,4572.45,4593.45,4514.17
04/04/2022,4582.64,4547.97,4583.5,4539.21
04/01/2022,4545.86,4540.32,4548.7,4507.57
03/31/2022,4530.41,4599.02,4603.07,4530.41
03/30/2022,4602.45,4624.2,4627.77,4581.32
03/29/2022,4631.6,4602.86,4637.3,4589.66
03/28/2022,4575.52,4541.09,4575.65,4517.69
03/25/2022,4543.06,4522.91,4546.03,4501.07
03/24/2022,4520.16,4469.98,4520.58,4465.17
03/23/2022,4456.24,4493.1,4501.07,4455.81
03/22/2022,4511.61,4469.1,4522,4469.1
03/21/2022,4461.18,4462.4,4481.75,4424.3
03/18/2022,4463.12,4407.34,4465.4,4390.57
03/17/2022,4411.67,4345.11,4412.67,4335.65
03/16/2022,4357.86,4288.14,4358.9,4251.99
03/15/2022,4262.45,4188.82,4271.05,4187.9
03/14/2022,4173.11,4202.75,4247.57,4161.72
03/11/2022,4204.31,4279.5,4291.01,4200.49
03/10/2022,4259.52,4252.55,4268.28,4209.8
03/09/2022,4277.88,4223.1,4299.4,4223.1
03/08/2022,4170.7,4202.66,4276.94,4157.87
03/07/2022,4201.09,4327.01,4327.01,4199.85
03/04/2022,4328.87,4342.12,4342.12,4284.98
03/03/2022,4363.49,4401.31,4416.78,4345.56
03/02/2022,4386.54,4322.56,4401.48,4322.56
03/01/2022,4306.26,4363.14,4378.45,4279.54
02/28/2022,4373.94,4354.17,4388.84,4315.12
02/25/2022,4384.65,4298.38,4385.34,4286.83
02/24/2022,4288.7,4155.77,4294.73,4114.65
02/23/2022,4225.5,4324.93,4341.51,4221.51
02/22/2022,4304.76,4332.74,4362.12,4267.11
02/18/2022,4348.87,4384.57,4394.6,4327.22
02/17/2022,4380.26,4456.06,4456.06,4373.81
02/16/2022,4475.01,4455.75,4489.55,4429.68
02/15/2022,4471.07,4429.28,4472.77,4429.28
02/14/2022,4401.67,4412.61,4426.22,4364.84
02/11/2022,4418.64,4506.27,4526.33,4401.41
02/10/2022,4504.08,4553.24,4588.92,4484.31
02/09/2022,4587.18,4547,4590.03,4547
02/08/2022,4521.54,4480.02,4531.32,4465.4
02/07/2022,4483.87,4505.75,4521.86,4471.47
02/04/2022,4500.53,4482.79,4539.66,4451.5
02/03/2022,4477.44,4535.41,4542.88,4470.39
02/02/2022,4589.38,4566.39,4595.31,4544.32
02/01/2022,4546.54,4519.57,4550.49,4483.53
01/31/2022,4515.55,4431.79,4516.89,4414.02
01/28/2022,4431.85,4336.19,4432.72,4292.46
01/27/2022,4326.51,4380.58,4428.74,4309.5
01/26/2022,4349.93,4408.43,4453.23,4304.8
01/25/2022,4356.45,4366.64,4411.01,4287.11
01/24/2022,4410.13,4356.32,4417.35,4222.62
01/21/2022,4397.94,4471.38,4494.52,4395.34
01/20/2022,4482.73,4547.35,4602.11,4477.95
01/19/2022,4532.76,4588.03,4611.55,4530.2
01/18/2022,4577.11,4632.24,4632.24,4568.7
01/14/2022,4662.85,4637.99,4665.13,4614.75
01/13/2022,4659.03,4733.56,4744.13,4650.29
01/12/2022,4726.35,4728.59,4748.83,4706.71
01/11/2022,4713.07,4669.14,4714.13,4638.27
01/10/2022,4670.29,4655.34,4673.02,4582.24
01/07/2022,4677.03,4697.66,4707.95,4662.74
01/06/2022,4696.05,4693.39,4725.01,4671.26
01/05/2022,4700.58,4787.99,4797.7,4699.44
01/04/2022,4793.54,4804.51,4818.62,4774.27
01/03/2022,4796.56,4778.14,4796.64,4758.17
12/31/2021,4766.18,4775.21,4786.83,4765.75
12/30/2021,4778.73,4794.23,4808.93,4775.33
12/29/2021,4793.06,4788.64,4804.06,4778.08
12/28/2021,4786.35,4795.49,4807.02,4780.04
12/27/2021,4791.19,4733.99,4791.49,4733.99
12/23/2021,4725.79,4703.96,4740.74,4703.96
12/22/2021,4696.56,4650.36,4697.67,4645.53
